areaid,districtid,percent
89012,478,1
123048,55,0.984495627638925
34536,7,1
91422,55,0.380013767599715
106142,55,0.91206851699918
50443,407,1
93793,466,1
82683,311,0.25127550510002
89052,311,0.422416966786715
15122,267,1
81218,467,1
110935,98,0.007936126785929
139386,9,0.33893105958199
178354,265,1
55885,265,1
30913,265,1
139480,466,1
167647,199,1
132286,145,1
62729,267,1
19066,267,1
164968,48,1
102767,394,0.060038326592174
53406,466,1
94792,63,0.019055240991577
56820,63,1
123346,159,0.475258494830103
188999,15,1
159742,265,1
136349,265,1
12465,265,1
53249,466,1
188151,466,1
51125,466,1
18873,294,0.77042845141417
98465,90,0.993360637378812
185301,83,1
137665,397,1
37634,325,1
108340,407,1
185675,466,1
28059,7,1
57517,7,1
83466,63,1
134445,7,0.987389745313676
178033,144,1
175859,144,1
133509,16,1
134445,135,0.012610254686324
42148,407,0.00857497100348
138790,466,1
18048,394,0.06758578750065
20538,255,0.004938686645535
52867,83,1
11974,83,1
142860,267,1
24056,219,1
169522,267,1
117940,466,1
3693,325,1
78089,438,0.188199650199914
178176,466,1
173946,1,1
23481,379,1
144371,379,1
161495,379,0.186370019483975
81516,466,1
179934,466,1
67649,407,0.478506773756145
107125,466,1
155127,161,1
25846,90,1
107955,41,1
115459,83,1
177990,63,1
97397,159,1
189251,159,1
31257,374,0.910348801382881
16737,1,0.48074168900268
75701,478,1
39536,466,1
44411,223,0.991609986396735
178887,159,1
53346,131,1
31372,466,1
40824,466,1
131835,436,0.771107242200476
55927,212,0.99857607404415
18005,90,1
125043,83,1
65744,90,1
156002,145,0.316403234001016
117348,145,0.523470440925856
43652,145,1
107014,265,1
73788,478,1
19880,325,0.036199185528327
122678,466,1
181944,478,1
160389,7,1
188644,7,1
174677,466,1
83222,63,1
112750,7,1
1235,90,1
71403,83,1
173728,90,1
13157,83,1
72480,85,0.565398294879437
55345,424,1
70876,145,0.992211034168237
88068,466,1
169740,1,1
24833,478,1
186484,466,1
130234,379,1
130878,7,0.56616308154077
107348,7,1
19954,98,1
46408,144,1
73261,119,0.998075037518759
80273,466,1
108887,466,1
113748,394,0.950443674537322
97253,466,1
61302,337,1
188515,83,1
172770,337,0.663049914382192
70578,145,1
153998,267,1
105279,219,1
142559,267,1
184446,1,0.889068019346089
97004,199,0.936869899183869
45935,466,1
80435,407,1
132584,267,1
117494,267,1
73094,267,1
45431,466,1
136368,394,0.497861649310487
101760,466,1
1664,265,1
10104,265,1
31850,466,0.079614915037128
146641,159,1
21200,63,0.355245046256282
24989,159,1
55026,478,1
157415,478,1
93757,466,1
67802,72,1
1698,55,1
156192,7,0.234344299360126
141618,145,1
37809,145,0.568203638807546
97477,145,1
160187,394,0.296033285991478
94592,466,1
130405,466,1
176565,265,1
21556,265,1
49407,265,1
177259,1,0.258524193387074
121439,302,0.700249651927601
17375,458,1
92669,1,1
62465,199,0.316237538205502
159663,199,0.980085530605795
4479,466,1
79148,205,1
98568,85,0.003268627576495
51864,267,1
180492,219,1
52102,149,1
180329,267,1
135447,267,1
154837,267,1
189625,466,0.893872861986286
123501,1,1
145521,265,1
94034,265,1
112065,265,1
154406,63,1
91663,159,1
157002,379,1
76279,466,1
35413,466,1
37071,199,1
164182,464,1
3023,154,1
124545,296,1
24961,458,0.753283906358155
15388,344,1
160950,231,0.846437931379414
172496,344,0.662672445879909
123525,334,1
109090,105,1
132241,362,1
10866,267,1
116922,267,1
106142,424,0.08793148300082
137496,337,1
110281,90,1
112331,90,1
121281,90,1
79406,30,0.363525052618101
181580,30,1
60005,27,1
120576,138,1
119661,122,0.00680541552643
71662,466,1
13590,394,0.91802721224511
10956,407,1
35374,63,1
141325,63,1
132975,379,1
145626,23,1
42928,135,0.359299026336536
182092,9,1
92374,83,1
134464,267,1
188011,267,1
107691,267,1
154471,325,0.321204120412041
18616,1,1
85462,466,1
159716,466,1
19284,466,1
117756,1,1
142578,55,1
183625,55,1
184831,223,0.206009442266144
88588,16,1
151470,376,0.280158272920768
18522,98,0.458675833806898
17872,119,0.730377543466517
177517,217,1
155545,90,0.948570697294963
15331,90,0.388298957320951
114968,1,0.985478315484596
11390,1,1
63074,436,0.230162986919419
131413,212,1
97099,212,1
26100,105,1
116148,206,1
99635,105,1
163028,196,1
149867,296,1
153327,154,1
76329,296,1
160271,154,1
184207,63,0.004637855142057
70235,63,1
67685,379,1
152851,379,1
73179,379,1
141960,379,1
48933,379,1
112148,436,0.088003393982086
51679,436,0.149459469195147
124052,56,1
160294,169,0.313142994337848
7588,9,0.443566352179877
31699,467,0.858528931441929
165214,396,1
59532,407,1
174181,296,1
77477,344,1
166347,56,1
49837,53,1
112148,447,0.911996606017914
9915,421,0.973691369681064
22488,121,1
88832,105,1
46320,199,0.020674646354733
2558,199,0.698907051358985
40945,7,1
114004,63,0.33700532191589
189915,466,1
174379,466,1
132490,466,1
149612,407,0.547056682412892
100124,424,0.968654070128113
29335,267,1
13070,145,1
189286,424,1
78466,159,1
21977,466,1
151531,466,1
118689,407,1
139727,478,1
42808,90,1
117797,265,1
56508,265,1
179036,366,0.061782827878691
7222,23,0.013958197439663
55604,135,1
19722,467,1
175487,1,0.223233895131835
132989,302,1
131835,161,0.228892757799524
153332,100,1
38668,56,0.659874350832656
112924,355,1
60969,56,0.341006001737661
15725,454,0.432409178585435
187971,451,1
174076,447,1
72635,105,1
178561,105,1
111025,23,0.134787845803537
72147,365,0.434085570100489
149868,98,0.852272954660968
142706,365,1
3566,265,1
13765,265,1
144779,265,1
73574,100,1
151666,154,0.948497493488672
97113,100,1
177917,15,1
101433,212,1
71853,436,1
55790,15,0.82756303327773
89402,294,0.90014601460146
175745,105,1
3198,105,1
95473,362,0.807990175292621
146232,464,1
85877,154,1
80325,302,1
55190,379,1
4112,159,1
33590,63,1
118205,265,1
95172,265,1
110229,265,1
85321,361,1
94387,355,1
144123,166,1
9851,255,0.006039285371242
160977,337,1
180905,265,1
48610,265,1
128910,85,0.056250350064412
3281,394,0.641768951335435
183025,1,1
123023,7,0.865433096703455
105132,173,1
188799,265,1
5786,12,0.659131645488589
75645,267,1
101602,366,1
21632,436,0.498805297514939
168714,212,1
181219,159,1
145591,55,0.159953256254177
15263,63,1
35880,63,1
26058,267,1
12388,424,1
151194,149,0.91146954552366
106326,90,1
38577,83,0.723048594988392
24535,90,1
186861,337,1
33721,466,1
137470,407,1
138604,438,0.75918388582726
125383,379,1
113470,379,1
176317,159,1
15818,379,1
59362,365,1
68386,144,1
35652,265,1
167750,265,1
182549,361,0.000348105824171
19711,337,1
107491,217,0.138979496271868
178801,236,0.010687377211199
151135,265,1
184891,265,1
69944,466,1
100641,438,1
164569,407,0.282121530874666
124133,466,1
173381,379,1
46031,159,1
56601,144,1
142489,365,1
173277,365,0.960124221613921
32789,365,1
109661,265,1
133602,27,1
162657,18,0.411213981483333
45728,138,0.579542181399219
59665,337,1
53753,90,0.994824683141825
127809,41,0.088980117717199
76921,265,1
177185,265,1
75803,265,1
181007,30,1
105472,30,1
170599,466,1
183224,478,1
178023,438,0.81623750330177
78140,366,0.003128650759358
169961,436,0.311170883415987
151675,212,0.649691413577803
113910,15,0.001340075044202
116007,379,1
91865,379,1
140478,30,1
177937,182,1
1828,182,1
55900,478,1
125812,407,1
135995,107,0.786737139450488
109389,379,1
168059,7,1
92232,379,1
50320,265,1
71809,265,1
89367,466,1
136261,466,1
113825,407,1
45950,466,1
162016,282,1
12915,296,0.475623081325771
100451,105,1
28884,145,1
32004,145,0.982136784621232
104280,267,1
117930,90,1
57780,83,1
128360,103,1
111440,267,1
10924,219,1
85547,267,1
180004,272,0.081800212863008
97963,15,1
31579,212,1
174252,436,0.478547300001601
133411,206,1
164031,105,1
57336,97,1
7419,464,1
29286,161,1
3583,461,0.983727059312849
159029,55,0.103049998199056
157376,379,1
106662,63,1
136179,108,0.420406530089629
44056,265,1
164576,265,1
128498,361,1
81250,344,1
149473,344,1
88897,119,1
95378,467,1
127964,467,1
175192,466,1
88413,454,1
164105,454,0.351833843568041
167637,447,1
34982,406,0.005693548645232
153335,421,0.647220966470769
174631,388,0.847831304097403
50388,92,1
110145,30,1
102704,99,1
176984,198,1
186678,235,0.58617874465735
141306,105,1
119373,97,1
81871,414,1
90456,30,1
112416,30,1
155023,145,1
96929,267,1
38987,267,1
144876,90,1
112702,90,0.634616538346165
82886,98,1
106053,365,1
178020,9,1
81285,144,1
69383,83,1
23862,90,1
8427,265,1
60914,265,1
13039,265,1
120344,2,1
137495,167,1
151932,337,1
26871,41,0.810841739255691
14707,265,1
170677,265,1
184140,265,1
167802,265,1
172654,267,1
132519,166,1
91434,231,1
115932,75,0.908443743722514
86816,63,1
90119,379,1
110272,63,1
20204,365,0.861048857014792
128351,467,1
107075,365,1
28637,90,0.497784319058056
35743,337,0.527527395369492
19326,105,1
151473,30,1
71814,27,1
14323,138,1
34732,182,1
41013,48,1
46032,267,1
15944,267,1
98868,267,1
12342,438,1
130651,396,0.994508990927028
28096,466,1
6315,159,0.495381722903374
45349,63,1
11901,379,1
2538,7,1
142663,83,1
133241,103,0.707699016968004
71057,337,0.626719850849573
158074,83,0.9897450266181
134426,454,1
138155,105,1
17340,105,1
14721,97,0.935575865448073
86440,267,1
126959,267,1
56879,267,1
72249,379,1
69043,159,1
19391,63,1
18358,83,0.44786675792836
186696,90,1
98896,103,0.106722467171859
179923,30,1
23467,30,1
21883,30,1
174509,182,1
174339,182,1
27214,18,1
186819,235,1
79497,466,1
109684,466,1
13557,478,1
108757,466,0.114632828292937
181134,135,1
81813,451,1
173110,447,0.305982365489832
76473,447,1
94183,30,1
150843,30,0.461929685561771
41160,30,1
27432,414,1
183345,198,1
180075,182,1
180957,235,1
48238,41,0.279725512163892
188112,103,1
59342,83,1
49650,75,1
96142,166,1
56652,212,1
116839,304,1
112254,212,0.009035494012335
30243,83,1
69618,83,1
171449,103,1
115938,265,1
172508,265,1
100039,265,1
53643,30,1
102275,92,0.057851537475977
154370,35,0.938137936277393
126578,138,1
174229,18,1
93035,138,1
67276,121,1
110638,451,1
108385,121,0.800444976210579
142848,302,1
127698,361,1
52845,166,0.108077296927563
128212,56,1
90625,53,1
53019,15,0.992879117010509
20913,15,1
153057,436,1
107971,374,0.745146291494606
137837,90,1
12688,41,1
172427,337,0.876111717896708
158502,30,1
1278,30,1
142362,36,0.776076210298797
119251,414,1
931,138,1
139834,138,1
81722,138,1
45230,396,1
159946,454,1
65133,182,0.190417321795072
37628,138,1
163163,140,1
84189,122,1
92608,140,1
143575,122,1
124613,205,1
118834,229,0.423926044154296
180952,1,0.910581693070891
108405,438,0.123489696518548
142488,454,1
185278,447,0.0252146244822
63711,121,0.73729803698754
14703,76,1
170244,467,1
165993,119,0.317140638260396
170700,144,1
170137,90,1
138974,90,1
69754,1,0.667185412182652
57194,1,0.980105055548221
144606,265,1
176466,265,1
16559,361,0.123131894733894
126259,344,0.046487987801706
182311,56,1
159244,344,1
32735,212,1
83266,366,0.46929524495389
48583,15,1
5183,159,1
181906,379,1
116151,159,1
5246,16,1
140643,144,1
78562,270,1
91601,332,1
103204,114,1
23934,2,1
49886,75,0.067203687919423
54566,53,1
88379,15,1
81641,366,0.571983548446464
132764,302,1
123071,161,1
55418,302,1
171140,362,1
113215,105,1
36443,135,1
135595,90,1
128484,83,0.958247274124598
57105,265,1
117245,265,1
145182,265,1
53364,379,1
104875,63,1
19822,63,1
92115,265,1
157957,265,1
153576,265,1
17762,265,1
22167,15,1
115750,272,0.110003240920421
44828,309,1
180004,361,0.918199787136993
186280,231,1
56566,166,0.7447
152724,231,0.975124537361208
132925,166,1
7440,166,1
53931,467,0.982572567604348
117825,365,3.60181531491872E-05
89353,182,1
172996,83,1
1115,90,1
141418,103,1
165634,135,1
55175,365,1
73425,144,1
87311,265,1
60336,270,0.36591628040904
67921,332,1
42879,43,1
163970,122,1
5918,122,1
38579,166,1
143459,344,1
61238,75,1
158110,15,1
168540,15,1
25702,15,1
145470,312,1
93827,265,1
171062,332,1
64314,27,1
124064,182,1
82216,140,0.17162187573768
131042,315,0.473518665989043
15832,166,1
92133,385,0.019458538068791
138997,309,0.929371569396214
188907,63,1
53848,63,1
32468,85,1
82157,424,1
68427,189,0.714601238776588
180649,189,1
108154,122,1
44011,15,1
27886,212,1
136976,15,0.998535918011409
131136,30,1
12731,30,1
12131,435,0.015766405827846
19195,9,0.090008158564093
42398,16,1
58555,265,1
166899,265,1
56801,265,1
185063,270,1
90052,332,1
16424,167,1
30583,361,0.469232923852587
135511,53,0.830743364957368
93324,355,1
17239,272,1
33903,239,1
27451,70,1
187334,55,0.261729897179542
92980,159,1
154757,394,0.999959992958761
136867,394,1
171256,361,1
96130,231,1
53343,355,1
108699,212,0.317794915281356
187329,212,1
94084,272,1
62491,144,1
77644,98,1
18358,467,0.55213324207164
160320,270,1
12075,56,1
108270,15,1
122438,293,1
156422,15,1
1379,454,1
79835,447,1
186665,374,0.03072281443068
112568,424,1
12315,12,0.760109304921522
7020,374,1
34215,16,0.00668832103941
111809,144,1
158095,2,1
1385,332,1
72132,114,0.324579483013235
135434,270,1
64823,231,1
129841,239,0.341122861250035
118843,63,1
42601,374,0.285262130172779
58607,103,1
164849,83,0.162492545020073
111015,312,1
75182,35,0.510549164749425
186750,83,1
50819,83,1
168486,83,1
77747,265,1
153712,265,1
161054,265,1
60485,99,0.057124218058985
167481,30,1
7316,30,1
165645,27,1
22035,182,1
21495,122,1
880,138,1
80914,466,0.999391535132842
128400,361,1
142978,166,0.706554131082622
56870,56,1
153461,53,0.974088203387388
60485,66,0.942875781941015
82175,296,1
71294,63,1
101710,63,1
33198,379,1
112682,105,1
53361,105,1
64162,105,1
53712,77,1
106244,2,1
59114,216,1
62605,43,1
42923,138,1
50225,138,1
127697,138,1
134244,166,0.672218555628887
148658,56,1
185305,15,1
59009,309,0.806855414601361
125077,405,1
146823,463,0.231436
156926,454,1
93049,447,1
14381,464,0.293722080791585
78290,154,1
