areaid,home,job
144639,1,1
146472,1,1
18242,2,1
85881,101,28
27667,136,48
105064,2,0
164439,161,82
124368,1,0
132456,1,0
181677,3,1
55460,59,28
74560,25,9
225,2,3
43060,110,14
35156,202,61
77630,1,0
115517,5,1
81380,11,4
18133,6,1
76790,1,1
47920,4,0
134677,1,0
34988,0,2
48319,2,0
44953,3,0
58028,1,0
1194,1,0
190015,65,22
47966,5,0
169385,1,0
157033,62,27
35826,1,0
36644,1,0
77672,72,21
131876,56,29
146273,26,12
170841,7,1
103826,4,2
153450,6,3
61466,1,0
187441,3,0
108052,3,0
67501,1,0
32127,7,2
170746,6,0
128982,0,2
129448,0,1
62355,0,1
141090,44,19
124621,5,9
8606,4,1
3716,4,0
147986,2,0
132703,11,1
99137,12,7
52384,5,0
158706,1,0
11561,1,0
81552,1,0
97251,0,1
184598,1,0
147788,141,56
36668,3,0
162904,4,0
182998,18,4
149662,5,1
113516,2,0
62471,422,209
156069,3,0
24090,15,7
130443,21,13
186050,94,45
184295,1,0
16740,41,34
28607,45,43
83596,56,33
134486,5,0
697,17,10
5732,18,2
133175,2,0
77855,18,2
4348,101,48
57503,1397,465
88223,28,8
111147,1,0
5670,2,0
151789,1,6
157714,1,1
11424,3,3
90493,3,0
147983,1,0
84705,66,17
12130,2,0
81082,25,16
151201,73,13
51626,49,9
179437,94,62
105965,1471,551
136994,1,0
649,5,10
101026,38,12
48648,0,2
134863,5,6
8574,1,0
61688,5,0
97927,2,0
145660,4,0
69375,0,1
155231,2,0
84872,2,0
30370,13,12
78588,6,2
150672,17,8
156654,210,134
60702,1,0
50215,10,9
147573,1,0
154646,2,0
104075,0,1
94539,0,1
44767,130,106
98718,3,1
63457,27,10
165379,6,1
73385,36,21
178401,6,2
96995,18,1
2819,83,32
30122,2,4
150894,245,105
55882,1,0
187179,2,0
86373,1,0
158127,8,0
152753,1,0
165200,91,86
182884,3,0
13645,5,0
121579,38,19
182841,3,1
21181,260,98
157817,2,3
152116,7,1
164046,1,0
132901,16,8
167234,1,0
14707,20,6
49613,1,0
105582,1,0
70970,71,30
170677,2,0
39442,1,0
144786,51,15
72221,2,0
34251,1,0
122553,97,22
55137,1,0
28900,3,0
32894,1,0
139409,0,1
38707,1,0
37817,51,28
18221,1,0
70941,1,0
176073,1,0
137718,1,1
57006,3,1
23201,2,1
146451,27,17
89437,8,1
152747,1,1
18697,4,0
82334,1,0
113550,73,20
52184,1,0
127653,12,3
130362,4,2
98138,4,0
148325,1,0
136725,2,0
109617,61,49
126346,1,0
14472,14,13
67651,1,1
94739,5,0
167013,22,5
170417,6,3
128711,1,0
41345,4,0
67798,3,1
116412,56,55
56479,1,1
120889,3,0
57124,1,0
69598,116,88
153986,4,1
81658,10,1
145193,14,3
1518,8,0
84494,219,98
115775,3,0
81351,1,0
